,ds,holiday
166,2015-08-27,Sommerferien
167,2015-10-17,Herbstferien
168,2015-10-18,Herbstferien
169,2015-10-19,Herbstferien
170,2015-10-20,Herbstferien
171,2015-10-21,Herbstferien
172,2015-10-22,Herbstferien
173,2015-10-23,Herbstferien
174,2015-10-24,Herbstferien
175,2015-10-25,Herbstferien
176,2015-12-21,Weihnachtsferien
177,2015-12-22,Weihnachtsferien
178,2015-12-23,Weihnachtsferien
179,2015-12-24,Weihnachtsferien
180,2015-12-25,Weihnachtsferien
181,2015-12-26,Weihnachtsferien
182,2015-12-27,Weihnachtsferien
183,2015-12-28,Weihnachtsferien
184,2015-12-29,Weihnachtsferien
185,2015-12-30,Weihnachtsferien
186,2015-12-31,Weihnachtsferien
187,2016-01-01,Weihnachtsferien
188,2016-01-02,Weihnachtsferien
189,2016-01-03,Weihnachtsferien
190,2016-01-04,Weihnachtsferien
191,2016-01-05,Weihnachtsferien
192,2016-01-06,Weihnachtsferien
193,2016-02-01,Winterferien
194,2016-02-02,Winterferien
195,2016-02-03,Winterferien
196,2016-02-04,Winterferien
197,2016-02-05,Winterferien
198,2016-02-06,Winterferien
199,2016-02-07,Winterferien
200,2016-02-08,Winterferien
201,2016-02-09,Winterferien
202,2016-02-10,Winterferien
203,2016-02-11,Winterferien
204,2016-03-24,Osterferien
205,2016-03-25,Osterferien
206,2016-05-06,Pfingstferien
207,2016-05-07,Pfingstferien
208,2016-05-08,Pfingstferien
209,2016-05-09,Pfingstferien
210,2016-05-10,Pfingstferien
211,2016-05-11,Pfingstferien
212,2016-05-12,Pfingstferien
213,2016-05-13,Pfingstferien
214,2016-05-14,Pfingstferien
215,2016-05-15,Pfingstferien
216,2016-06-27,Sommerferien
217,2016-06-28,Sommerferien
218,2016-06-29,Sommerferien
219,2016-06-30,Sommerferien
220,2016-07-01,Sommerferien
221,2016-07-02,Sommerferien
222,2016-07-03,Sommerferien
223,2016-07-04,Sommerferien
224,2016-07-05,Sommerferien
225,2016-07-06,Sommerferien
226,2016-07-07,Sommerferien
227,2016-07-08,Sommerferien
228,2016-07-09,Sommerferien
229,2016-07-10,Sommerferien
230,2016-07-11,Sommerferien
231,2016-07-12,Sommerferien
232,2016-07-13,Sommerferien
233,2016-07-14,Sommerferien
234,2016-07-15,Sommerferien
235,2016-07-16,Sommerferien
236,2016-07-17,Sommerferien
237,2016-07-18,Sommerferien
238,2016-07-19,Sommerferien
239,2016-07-20,Sommerferien
240,2016-07-21,Sommerferien
241,2016-07-22,Sommerferien
242,2016-07-23,Sommerferien
243,2016-07-24,Sommerferien
244,2016-07-25,Sommerferien
245,2016-07-26,Sommerferien
246,2016-07-27,Sommerferien
247,2016-07-28,Sommerferien
248,2016-07-29,Sommerferien
249,2016-07-30,Sommerferien
250,2016-07-31,Sommerferien
251,2016-08-01,Sommerferien
252,2016-08-02,Sommerferien
253,2016-08-03,Sommerferien
254,2016-08-04,Sommerferien
255,2016-08-05,Sommerferien
256,2016-08-06,Sommerferien
257,2016-08-07,Sommerferien
258,2016-08-08,Sommerferien
259,2016-08-09,Sommerferien
260,2016-08-10,Sommerferien
261,2016-08-11,Sommerferien
262,2016-10-04,Herbstferien
263,2016-10-05,Herbstferien
264,2016-10-06,Herbstferien
265,2016-10-07,Herbstferien
266,2016-10-08,Herbstferien
267,2016-10-09,Herbstferien
268,2016-10-10,Herbstferien
269,2016-10-11,Herbstferien
270,2016-10-12,Herbstferien
271,2016-10-13,Herbstferien
272,2016-10-14,Herbstferien
273,2016-10-15,Herbstferien
274,2016-10-16,Herbstferien
275,2016-12-19,Weihnachtsferien
276,2016-12-20,Weihnachtsferien
277,2016-12-21,Weihnachtsferien
278,2016-12-22,Weihnachtsferien
279,2016-12-23,Weihnachtsferien
280,2016-12-24,Weihnachtsferien
281,2016-12-25,Weihnachtsferien
282,2016-12-26,Weihnachtsferien
283,2016-12-27,Weihnachtsferien
284,2016-12-28,Weihnachtsferien
285,2016-12-29,Weihnachtsferien
286,2016-12-30,Weihnachtsferien
287,2016-12-31,Weihnachtsferien
288,2017-01-01,Weihnachtsferien
289,2017-01-02,Weihnachtsferien
290,2017-01-03,Weihnachtsferien
291,2017-02-04,Winterferien
292,2017-02-05,Winterferien
293,2017-02-06,Winterferien
294,2017-02-07,Winterferien
295,2017-02-08,Winterferien
296,2017-02-09,Winterferien
297,2017-02-10,Winterferien
298,2017-02-11,Winterferien
299,2017-02-12,Winterferien
300,2017-04-10,Osterferien
301,2017-04-11,Osterferien
302,2017-04-12,Osterferien
303,2017-04-13,Osterferien
304,2017-04-14,Osterferien
305,2017-05-26,Pfingstferien
306,2017-05-27,Pfingstferien
307,2017-06-26,Sommerferien
308,2017-06-27,Sommerferien
309,2017-06-28,Sommerferien
310,2017-06-29,Sommerferien
311,2017-06-30,Sommerferien
312,2017-07-01,Sommerferien
313,2017-07-02,Sommerferien
314,2017-07-03,Sommerferien
315,2017-07-04,Sommerferien
316,2017-07-05,Sommerferien
317,2017-07-06,Sommerferien
318,2017-07-07,Sommerferien
319,2017-07-08,Sommerferien
320,2017-07-09,Sommerferien
321,2017-07-10,Sommerferien
322,2017-07-11,Sommerferien
323,2017-07-12,Sommerferien
324,2017-07-13,Sommerferien
325,2017-07-14,Sommerferien
326,2017-07-15,Sommerferien
327,2017-07-16,Sommerferien
328,2017-07-17,Sommerferien
329,2017-07-18,Sommerferien
330,2017-07-19,Sommerferien
331,2017-07-20,Sommerferien
332,2017-07-21,Sommerferien
333,2017-07-22,Sommerferien
334,2017-07-23,Sommerferien
335,2017-07-24,Sommerferien
336,2017-07-25,Sommerferien
337,2017-07-26,Sommerferien
338,2017-07-27,Sommerferien
339,2017-07-28,Sommerferien
340,2017-07-29,Sommerferien
341,2017-07-30,Sommerferien
342,2017-07-31,Sommerferien
343,2017-08-01,Sommerferien
344,2017-08-02,Sommerferien
345,2017-08-03,Sommerferien
346,2017-08-04,Sommerferien
347,2017-08-05,Sommerferien
348,2017-08-06,Sommerferien
349,2017-08-07,Sommerferien
350,2017-08-08,Sommerferien
351,2017-08-09,Sommerferien
352,2017-08-10,Sommerferien
353,2017-10-02,Herbstferien
354,2017-10-03,Herbstferien
355,2017-10-04,Herbstferien
356,2017-10-05,Herbstferien
357,2017-10-06,Herbstferien
358,2017-10-07,Herbstferien
359,2017-10-08,Herbstferien
360,2017-10-09,Herbstferien
361,2017-10-10,Herbstferien
362,2017-10-11,Herbstferien
363,2017-10-12,Herbstferien
364,2017-10-13,Herbstferien
365,2017-10-14,Herbstferien
366,2017-10-30,Herbstferien
367,2017-10-31,Herbstferien
368,2017-12-21,Weihnachtsferien
369,2017-12-22,Weihnachtsferien
370,2017-12-23,Weihnachtsferien
371,2017-12-24,Weihnachtsferien
372,2017-12-25,Weihnachtsferien
373,2017-12-26,Weihnachtsferien
374,2017-12-27,Weihnachtsferien
375,2017-12-28,Weihnachtsferien
376,2017-12-29,Weihnachtsferien
377,2017-12-30,Weihnachtsferien
378,2017-12-31,Weihnachtsferien
379,2018-01-01,Weihnachtsferien
380,2018-01-02,Weihnachtsferien
381,2018-01-03,Weihnachtsferien
382,2018-01-04,Weihnachtsferien
383,2018-02-05,Winterferien
384,2018-02-06,Winterferien
385,2018-02-07,Winterferien
386,2018-02-08,Winterferien
387,2018-02-09,Winterferien
388,2018-02-10,Winterferien
389,2018-03-26,Osterferien
390,2018-03-27,Osterferien
391,2018-03-28,Osterferien
392,2018-03-29,Osterferien
393,2018-03-30,Osterferien
394,2018-03-31,Osterferien
395,2018-04-01,Osterferien
396,2018-04-30,Osterferien
397,2018-05-01,Osterferien
398,2018-05-11,Pfingstferien
399,2018-05-12,Pfingstferien
400,2018-05-13,Pfingstferien
401,2018-05-14,Pfingstferien
402,2018-05-15,Pfingstferien
403,2018-05-16,Pfingstferien
404,2018-05-17,Pfingstferien
405,2018-05-18,Pfingstferien
406,2018-05-19,Pfingstferien
407,2018-05-20,Pfingstferien
408,2018-06-28,Sommerferien
409,2018-06-29,Sommerferien
410,2018-06-30,Sommerferien
411,2018-07-01,Sommerferien
412,2018-07-02,Sommerferien
413,2018-07-03,Sommerferien
414,2018-07-04,Sommerferien
415,2018-07-05,Sommerferien
416,2018-07-06,Sommerferien
417,2018-07-07,Sommerferien
418,2018-07-08,Sommerferien
419,2018-07-09,Sommerferien
420,2018-07-10,Sommerferien
421,2018-07-11,Sommerferien
422,2018-07-12,Sommerferien
423,2018-07-13,Sommerferien
424,2018-07-14,Sommerferien
425,2018-07-15,Sommerferien
426,2018-07-16,Sommerferien
427,2018-07-17,Sommerferien
428,2018-07-18,Sommerferien
429,2018-07-19,Sommerferien
430,2018-07-20,Sommerferien
431,2018-07-21,Sommerferien
432,2018-07-22,Sommerferien
433,2018-07-23,Sommerferien
434,2018-07-24,Sommerferien
435,2018-07-25,Sommerferien
436,2018-07-26,Sommerferien
437,2018-07-27,Sommerferien
438,2018-07-28,Sommerferien
439,2018-07-29,Sommerferien
440,2018-07-30,Sommerferien
441,2018-07-31,Sommerferien
442,2018-08-01,Sommerferien
443,2018-08-02,Sommerferien
444,2018-08-03,Sommerferien
445,2018-08-04,Sommerferien
446,2018-08-05,Sommerferien
447,2018-08-06,Sommerferien
448,2018-08-07,Sommerferien
449,2018-08-08,Sommerferien
450,2018-08-09,Sommerferien
451,2018-10-01,Herbstferien
452,2018-10-02,Herbstferien
453,2018-10-03,Herbstferien
454,2018-10-04,Herbstferien
455,2018-10-05,Herbstferien
456,2018-10-06,Herbstferien
457,2018-10-07,Herbstferien
458,2018-10-08,Herbstferien
459,2018-10-09,Herbstferien
460,2018-10-10,Herbstferien
461,2018-10-11,Herbstferien
462,2018-10-12,Herbstferien
463,2018-10-13,Herbstferien
464,2018-12-19,Weihnachtsferien
465,2018-12-20,Weihnachtsferien
466,2018-12-21,Weihnachtsferien
467,2018-12-22,Weihnachtsferien
468,2018-12-23,Weihnachtsferien
469,2018-12-24,Weihnachtsferien
470,2018-12-25,Weihnachtsferien
471,2018-12-26,Weihnachtsferien
472,2018-12-27,Weihnachtsferien
473,2018-12-28,Weihnachtsferien
474,2018-12-29,Weihnachtsferien
475,2018-12-30,Weihnachtsferien
476,2018-12-31,Weihnachtsferien
477,2019-01-01,Weihnachtsferien
478,2019-01-02,Weihnachtsferien
479,2019-01-03,Weihnachtsferien
480,2019-01-04,Weihnachtsferien
481,2019-01-05,Weihnachtsferien
