,ds,holiday
105,2015-02-20,Winterferien
106,2015-02-21,Winterferien
107,2015-02-22,Winterferien
108,2015-04-02,Osterferien
109,2015-04-03,Osterferien
110,2015-04-04,Osterferien
111,2015-04-05,Osterferien
112,2015-04-06,Osterferien
113,2015-04-07,Osterferien
114,2015-04-08,Osterferien
115,2015-04-09,Osterferien
116,2015-04-10,Osterferien
117,2015-04-11,Osterferien
118,2015-04-12,Osterferien
119,2015-05-15,Pfingstferien
120,2015-05-16,Pfingstferien
121,2015-07-13,Sommerferien
122,2015-07-14,Sommerferien
123,2015-07-15,Sommerferien
124,2015-07-16,Sommerferien
125,2015-07-17,Sommerferien
126,2015-07-18,Sommerferien
127,2015-07-19,Sommerferien
128,2015-07-20,Sommerferien
129,2015-07-21,Sommerferien
130,2015-07-22,Sommerferien
131,2015-07-23,Sommerferien
132,2015-07-24,Sommerferien
133,2015-07-25,Sommerferien
134,2015-07-26,Sommerferien
135,2015-07-27,Sommerferien
136,2015-07-28,Sommerferien
137,2015-07-29,Sommerferien
138,2015-07-30,Sommerferien
139,2015-07-31,Sommerferien
140,2015-08-01,Sommerferien
141,2015-08-02,Sommerferien
142,2015-08-03,Sommerferien
143,2015-08-04,Sommerferien
144,2015-08-05,Sommerferien
145,2015-08-06,Sommerferien
146,2015-08-07,Sommerferien
147,2015-08-08,Sommerferien
148,2015-08-09,Sommerferien
149,2015-08-10,Sommerferien
150,2015-08-11,Sommerferien
151,2015-08-12,Sommerferien
152,2015-08-13,Sommerferien
153,2015-08-14,Sommerferien
154,2015-08-15,Sommerferien
155,2015-08-16,Sommerferien
156,2015-08-17,Sommerferien
157,2015-08-18,Sommerferien
158,2015-08-19,Sommerferien
159,2015-08-20,Sommerferien
160,2015-08-21,Sommerferien
161,2015-08-22,Sommerferien
162,2015-10-12,Herbstferien
163,2015-10-13,Herbstferien
164,2015-10-14,Herbstferien
165,2015-10-15,Herbstferien
166,2015-10-16,Herbstferien
167,2015-10-17,Herbstferien
168,2015-10-18,Herbstferien
169,2015-10-19,Herbstferien
170,2015-10-20,Herbstferien
171,2015-10-21,Herbstferien
172,2015-10-22,Herbstferien
173,2015-10-23,Herbstferien
174,2015-10-24,Herbstferien
175,2015-10-25,Herbstferien
176,2015-12-21,Weihnachtsferien
177,2015-12-22,Weihnachtsferien
178,2015-12-23,Weihnachtsferien
179,2015-12-24,Weihnachtsferien
180,2015-12-25,Weihnachtsferien
181,2015-12-26,Weihnachtsferien
182,2015-12-27,Weihnachtsferien
