,ds,holiday
195,2016-07-20,Sommerferien
196,2016-07-21,Sommerferien
197,2016-07-22,Sommerferien
198,2016-07-23,Sommerferien
199,2016-07-24,Sommerferien
200,2016-07-25,Sommerferien
201,2016-07-26,Sommerferien
202,2016-07-27,Sommerferien
203,2016-07-28,Sommerferien
204,2016-07-29,Sommerferien
205,2016-07-30,Sommerferien
206,2016-07-31,Sommerferien
207,2016-08-01,Sommerferien
208,2016-08-02,Sommerferien
209,2016-08-03,Sommerferien
210,2016-08-04,Sommerferien
211,2016-08-05,Sommerferien
212,2016-08-06,Sommerferien
213,2016-08-07,Sommerferien
214,2016-08-08,Sommerferien
215,2016-08-09,Sommerferien
216,2016-08-10,Sommerferien
217,2016-08-11,Sommerferien
218,2016-08-12,Sommerferien
219,2016-08-13,Sommerferien
220,2016-08-14,Sommerferien
221,2016-08-15,Sommerferien
222,2016-08-16,Sommerferien
223,2016-08-17,Sommerferien
224,2016-08-18,Sommerferien
225,2016-08-19,Sommerferien
226,2016-08-20,Sommerferien
227,2016-08-21,Sommerferien
228,2016-08-22,Sommerferien
229,2016-08-23,Sommerferien
230,2016-08-24,Sommerferien
231,2016-08-25,Sommerferien
232,2016-08-26,Sommerferien
233,2016-08-27,Sommerferien
234,2016-10-10,Herbstferien
235,2016-10-11,Herbstferien
236,2016-10-12,Herbstferien
237,2016-10-13,Herbstferien
238,2016-10-14,Herbstferien
239,2016-10-15,Herbstferien
240,2016-10-16,Herbstferien
241,2016-10-17,Herbstferien
242,2016-10-18,Herbstferien
243,2016-10-19,Herbstferien
244,2016-10-20,Herbstferien
245,2016-10-21,Herbstferien
246,2016-10-22,Herbstferien
247,2016-12-22,Weihnachtsferien
248,2016-12-23,Weihnachtsferien
249,2016-12-24,Weihnachtsferien
250,2016-12-25,Weihnachtsferien
251,2016-12-26,Weihnachtsferien
252,2016-12-27,Weihnachtsferien
253,2016-12-28,Weihnachtsferien
254,2016-12-29,Weihnachtsferien
255,2016-12-30,Weihnachtsferien
256,2016-12-31,Weihnachtsferien
257,2017-01-01,Weihnachtsferien
258,2017-01-02,Weihnachtsferien
259,2017-01-03,Weihnachtsferien
260,2017-01-04,Weihnachtsferien
261,2017-01-05,Weihnachtsferien
262,2017-01-06,Weihnachtsferien
263,2017-01-07,Weihnachtsferien
264,2017-04-10,Osterferien
265,2017-04-11,Osterferien
266,2017-04-12,Osterferien
267,2017-04-13,Osterferien
268,2017-04-14,Osterferien
269,2017-04-15,Osterferien
270,2017-04-16,Osterferien
271,2017-04-17,Osterferien
272,2017-04-18,Osterferien
273,2017-04-19,Osterferien
274,2017-04-20,Osterferien
275,2017-04-21,Osterferien
276,2017-04-22,Osterferien
277,2017-07-03,Sommerferien
278,2017-07-04,Sommerferien
279,2017-07-05,Sommerferien
280,2017-07-06,Sommerferien
281,2017-07-07,Sommerferien
282,2017-07-08,Sommerferien
283,2017-07-09,Sommerferien
284,2017-07-10,Sommerferien
285,2017-07-11,Sommerferien
286,2017-07-12,Sommerferien
287,2017-07-13,Sommerferien
