,ds,holiday
243,2016-07-15,Sommerferien
244,2016-07-16,Sommerferien
245,2016-07-17,Sommerferien
246,2016-07-18,Sommerferien
247,2016-07-19,Sommerferien
248,2016-07-20,Sommerferien
249,2016-07-21,Sommerferien
250,2016-07-22,Sommerferien
251,2016-07-23,Sommerferien
252,2016-07-24,Sommerferien
253,2016-07-25,Sommerferien
254,2016-07-26,Sommerferien
255,2016-07-27,Sommerferien
256,2016-07-28,Sommerferien
257,2016-07-29,Sommerferien
258,2016-07-30,Sommerferien
259,2016-07-31,Sommerferien
260,2016-08-01,Sommerferien
261,2016-08-02,Sommerferien
262,2016-08-03,Sommerferien
263,2016-08-04,Sommerferien
264,2016-10-04,Herbstferien
265,2016-10-05,Herbstferien
266,2016-10-06,Herbstferien
267,2016-10-07,Herbstferien
268,2016-10-08,Herbstferien
269,2016-10-09,Herbstferien
270,2016-10-10,Herbstferien
271,2016-10-11,Herbstferien
272,2016-10-12,Herbstferien
273,2016-10-13,Herbstferien
274,2016-10-14,Herbstferien
275,2016-10-15,Herbstferien
276,2016-10-16,Herbstferien
277,2016-12-21,Weihnachtsferien
278,2016-12-22,Weihnachtsferien
279,2016-12-23,Weihnachtsferien
280,2016-12-24,Weihnachtsferien
281,2016-12-25,Weihnachtsferien
282,2016-12-26,Weihnachtsferien
283,2016-12-27,Weihnachtsferien
284,2016-12-28,Weihnachtsferien
285,2016-12-29,Weihnachtsferien
286,2016-12-30,Weihnachtsferien
287,2016-12-31,Weihnachtsferien
288,2017-01-01,Weihnachtsferien
289,2017-01-02,Weihnachtsferien
290,2017-01-03,Weihnachtsferien
291,2017-01-04,Weihnachtsferien
292,2017-01-05,Weihnachtsferien
293,2017-01-06,Weihnachtsferien
294,2017-01-07,Weihnachtsferien
295,2017-01-30,Winterferien
296,2017-01-31,Winterferien
297,2017-02-01,Winterferien
298,2017-04-10,Osterferien
299,2017-04-11,Osterferien
300,2017-04-12,Osterferien
301,2017-04-13,Osterferien
302,2017-04-14,Osterferien
303,2017-04-15,Osterferien
304,2017-04-16,Osterferien
305,2017-04-17,Osterferien
306,2017-04-18,Osterferien
307,2017-04-19,Osterferien
308,2017-04-20,Osterferien
309,2017-04-21,Osterferien
310,2017-04-22,Osterferien
311,2017-04-23,Osterferien
312,2017-06-06,Pfingstferien
313,2017-06-07,Pfingstferien
314,2017-06-22,Sommerferien
315,2017-06-23,Sommerferien
316,2017-06-24,Sommerferien
317,2017-06-25,Sommerferien
318,2017-06-26,Sommerferien
319,2017-06-27,Sommerferien
320,2017-06-28,Sommerferien
321,2017-06-29,Sommerferien
322,2017-06-30,Sommerferien
323,2017-07-01,Sommerferien
324,2017-07-02,Sommerferien
325,2017-07-03,Sommerferien
326,2017-07-04,Sommerferien
327,2017-07-05,Sommerferien
328,2017-07-06,Sommerferien
329,2017-07-07,Sommerferien
330,2017-07-08,Sommerferien
331,2017-07-09,Sommerferien
332,2017-07-10,Sommerferien
333,2017-07-11,Sommerferien
334,2017-07-12,Sommerferien
335,2017-07-13,Sommerferien
336,2017-07-14,Sommerferien
337,2017-07-15,Sommerferien
338,2017-07-16,Sommerferien
339,2017-07-17,Sommerferien
340,2017-07-18,Sommerferien
341,2017-07-19,Sommerferien
342,2017-07-20,Sommerferien
343,2017-07-21,Sommerferien
344,2017-07-22,Sommerferien
345,2017-07-23,Sommerferien
346,2017-07-24,Sommerferien
347,2017-07-25,Sommerferien
348,2017-07-26,Sommerferien
349,2017-07-27,Sommerferien
350,2017-07-28,Sommerferien
351,2017-07-29,Sommerferien
352,2017-07-30,Sommerferien
353,2017-07-31,Sommerferien
354,2017-08-01,Sommerferien
355,2017-08-02,Sommerferien
356,2017-08-03,Sommerferien
357,2017-10-02,Herbstferien
358,2017-10-03,Herbstferien
359,2017-10-04,Herbstferien
360,2017-10-05,Herbstferien
361,2017-10-06,Herbstferien
362,2017-10-07,Herbstferien
363,2017-10-08,Herbstferien
364,2017-10-09,Herbstferien
365,2017-10-10,Herbstferien
366,2017-10-11,Herbstferien
367,2017-10-12,Herbstferien
368,2017-10-13,Herbstferien
369,2017-10-14,Herbstferien
370,2017-10-15,Herbstferien
371,2017-12-22,Weihnachtsferien
372,2017-12-23,Weihnachtsferien
373,2017-12-24,Weihnachtsferien
374,2017-12-25,Weihnachtsferien
375,2017-12-26,Weihnachtsferien
376,2017-12-27,Weihnachtsferien
377,2017-12-28,Weihnachtsferien
378,2017-12-29,Weihnachtsferien
379,2017-12-30,Weihnachtsferien
380,2017-12-31,Weihnachtsferien
381,2018-01-01,Weihnachtsferien
382,2018-01-02,Weihnachtsferien
383,2018-01-03,Weihnachtsferien
384,2018-01-04,Weihnachtsferien
385,2018-01-05,Weihnachtsferien
386,2018-01-06,Weihnachtsferien
387,2018-01-07,Weihnachtsferien
388,2017-10-30,Herbstferien
389,2017-10-31,Herbstferien
390,2018-06-28,Sommerferien
391,2018-06-29,Sommerferien
392,2018-06-30,Sommerferien
393,2018-07-01,Sommerferien
394,2018-07-02,Sommerferien
395,2018-07-03,Sommerferien
396,2018-07-04,Sommerferien
397,2018-07-05,Sommerferien
398,2018-07-06,Sommerferien
399,2018-07-07,Sommerferien
400,2018-07-08,Sommerferien
401,2018-07-09,Sommerferien
402,2018-07-10,Sommerferien
403,2018-07-11,Sommerferien
404,2018-07-12,Sommerferien
405,2018-07-13,Sommerferien
406,2018-07-14,Sommerferien
407,2018-07-15,Sommerferien
408,2018-07-16,Sommerferien
409,2018-07-17,Sommerferien
410,2018-07-18,Sommerferien
411,2018-07-19,Sommerferien
412,2018-07-20,Sommerferien
413,2018-07-21,Sommerferien
414,2018-07-22,Sommerferien
415,2018-07-23,Sommerferien
416,2018-07-24,Sommerferien
417,2018-07-25,Sommerferien
418,2018-07-26,Sommerferien
419,2018-07-27,Sommerferien
420,2018-07-28,Sommerferien
421,2018-07-29,Sommerferien
422,2018-07-30,Sommerferien
423,2018-07-31,Sommerferien
424,2018-08-01,Sommerferien
425,2018-08-02,Sommerferien
426,2018-08-03,Sommerferien
427,2018-08-04,Sommerferien
428,2018-08-05,Sommerferien
429,2018-08-06,Sommerferien
430,2018-08-07,Sommerferien
431,2018-08-08,Sommerferien
432,2018-08-09,Sommerferien
433,2018-02-01,Winterferien
434,2018-02-02,Winterferien
435,2018-02-03,Winterferien
436,2018-03-19,Osterferien
437,2018-03-20,Osterferien
438,2018-03-21,Osterferien
439,2018-03-22,Osterferien
440,2018-03-23,Osterferien
441,2018-03-24,Osterferien
442,2018-03-25,Osterferien
443,2018-03-26,Osterferien
444,2018-03-27,Osterferien
445,2018-03-28,Osterferien
446,2018-03-29,Osterferien
447,2018-03-30,Osterferien
448,2018-03-31,Osterferien
449,2018-04-01,Osterferien
450,2018-04-02,Osterferien
451,2018-04-03,Osterferien
452,2018-04-04,Osterferien
453,2018-04-30,Pfingstferien
454,2018-05-01,Pfingstferien
455,2018-05-11,Pfingstferien
456,2018-05-12,Pfingstferien
457,2018-05-22,Pfingstferien
458,2018-05-23,Pfingstferien
459,2018-10-01,Herbstferien
460,2018-10-02,Herbstferien
461,2018-10-03,Herbstferien
462,2018-10-04,Herbstferien
463,2018-10-05,Herbstferien
464,2018-10-06,Herbstferien
465,2018-10-07,Herbstferien
466,2018-10-08,Herbstferien
467,2018-10-09,Herbstferien
468,2018-10-10,Herbstferien
469,2018-10-11,Herbstferien
470,2018-10-12,Herbstferien
471,2018-10-13,Herbstferien
472,2018-10-14,Herbstferien
473,2018-12-24,Weihnachtsferien
474,2018-12-25,Weihnachtsferien
475,2018-12-26,Weihnachtsferien
476,2018-12-27,Weihnachtsferien
477,2018-12-28,Weihnachtsferien
478,2018-12-29,Weihnachtsferien
479,2018-12-30,Weihnachtsferien
480,2018-12-31,Weihnachtsferien
481,2019-01-01,Weihnachtsferien
482,2019-01-02,Weihnachtsferien
483,2019-01-03,Weihnachtsferien
484,2019-01-04,Weihnachtsferien
485,2019-01-05,Weihnachtsferien
