,ds,holiday
165,2015-08-27,Sommerferien
166,2015-08-28,Sommerferien
167,2015-08-29,Sommerferien
168,2015-10-19,Herbstferien
169,2015-10-20,Herbstferien
170,2015-10-21,Herbstferien
171,2015-10-22,Herbstferien
172,2015-10-23,Herbstferien
173,2015-10-24,Herbstferien
174,2015-10-25,Herbstferien
175,2015-10-26,Herbstferien
176,2015-10-27,Herbstferien
177,2015-10-28,Herbstferien
178,2015-10-29,Herbstferien
179,2015-10-30,Herbstferien
180,2015-10-31,Herbstferien
181,2015-11-01,Herbstferien
182,2015-12-23,Weihnachtsferien
183,2015-12-24,Weihnachtsferien
184,2015-12-25,Weihnachtsferien
185,2015-12-26,Weihnachtsferien
186,2015-12-27,Weihnachtsferien
187,2015-12-28,Weihnachtsferien
188,2015-12-29,Weihnachtsferien
189,2015-12-30,Weihnachtsferien
190,2015-12-31,Weihnachtsferien
191,2016-01-01,Weihnachtsferien
192,2016-01-02,Weihnachtsferien
193,2016-01-03,Weihnachtsferien
194,2016-02-01,Winterferien
195,2016-02-02,Winterferien
196,2016-02-03,Winterferien
197,2016-02-04,Winterferien
198,2016-02-05,Winterferien
199,2016-02-06,Winterferien
200,2016-02-07,Winterferien
201,2016-03-21,Osterferien
202,2016-03-22,Osterferien
203,2016-03-23,Osterferien
204,2016-03-24,Osterferien
205,2016-03-25,Osterferien
206,2016-03-26,Osterferien
207,2016-03-27,Osterferien
208,2016-03-28,Osterferien
209,2016-03-29,Osterferien
210,2016-03-30,Osterferien
211,2016-03-31,Osterferien
212,2016-04-01,Osterferien
213,2016-04-02,Osterferien
214,2016-04-03,Osterferien
215,2016-05-06,Pfingstferien
216,2016-05-07,Pfingstferien
217,2016-05-17,Pfingstferien
218,2016-05-18,Pfingstferien
219,2016-07-21,Sommerferien
220,2016-07-22,Sommerferien
221,2016-07-23,Sommerferien
222,2016-07-24,Sommerferien
223,2016-07-25,Sommerferien
224,2016-07-26,Sommerferien
225,2016-07-27,Sommerferien
226,2016-07-28,Sommerferien
227,2016-07-29,Sommerferien
228,2016-07-30,Sommerferien
229,2016-07-31,Sommerferien
230,2016-08-01,Sommerferien
231,2016-08-02,Sommerferien
232,2016-08-03,Sommerferien
233,2016-08-04,Sommerferien
234,2016-08-05,Sommerferien
235,2016-08-06,Sommerferien
236,2016-08-07,Sommerferien
237,2016-08-08,Sommerferien
238,2016-08-09,Sommerferien
239,2016-08-10,Sommerferien
240,2016-08-11,Sommerferien
241,2016-08-12,Sommerferien
242,2016-08-13,Sommerferien
243,2016-08-14,Sommerferien
244,2016-08-15,Sommerferien
245,2016-08-16,Sommerferien
246,2016-08-17,Sommerferien
247,2016-08-18,Sommerferien
248,2016-08-19,Sommerferien
249,2016-08-20,Sommerferien
250,2016-08-21,Sommerferien
251,2016-08-22,Sommerferien
252,2016-08-23,Sommerferien
253,2016-08-24,Sommerferien
254,2016-08-25,Sommerferien
255,2016-08-26,Sommerferien
256,2016-08-27,Sommerferien
257,2016-08-28,Sommerferien
258,2016-08-29,Sommerferien
259,2016-08-30,Sommerferien
260,2016-08-31,Sommerferien
261,2016-09-01,Sommerferien
262,2016-09-02,Sommerferien
263,2016-09-03,Sommerferien
