,ds,holiday
195,2016-03-14,Osterferien
196,2016-03-15,Osterferien
197,2016-03-16,Osterferien
198,2016-03-17,Osterferien
199,2016-03-18,Osterferien
200,2016-03-19,Osterferien
201,2016-05-17,Pfingstferien
202,2016-05-18,Pfingstferien
203,2016-05-19,Pfingstferien
204,2016-05-20,Pfingstferien
205,2016-05-21,Pfingstferien
206,2016-05-06,Pfingstferien
207,2016-05-07,Pfingstferien
208,2016-07-21,Sommerferien
209,2016-07-22,Sommerferien
210,2016-07-23,Sommerferien
211,2016-07-24,Sommerferien
212,2016-07-25,Sommerferien
213,2016-07-26,Sommerferien
214,2016-07-27,Sommerferien
215,2016-07-28,Sommerferien
216,2016-07-29,Sommerferien
217,2016-07-30,Sommerferien
218,2016-07-31,Sommerferien
219,2016-08-01,Sommerferien
220,2016-08-02,Sommerferien
221,2016-08-03,Sommerferien
222,2016-08-04,Sommerferien
223,2016-08-05,Sommerferien
224,2016-08-06,Sommerferien
225,2016-08-07,Sommerferien
226,2016-08-08,Sommerferien
227,2016-08-09,Sommerferien
228,2016-08-10,Sommerferien
229,2016-08-11,Sommerferien
230,2016-08-12,Sommerferien
231,2016-08-13,Sommerferien
232,2016-08-14,Sommerferien
233,2016-08-15,Sommerferien
234,2016-08-16,Sommerferien
235,2016-08-17,Sommerferien
236,2016-08-18,Sommerferien
237,2016-08-19,Sommerferien
238,2016-08-20,Sommerferien
239,2016-08-21,Sommerferien
240,2016-08-22,Sommerferien
241,2016-08-23,Sommerferien
242,2016-08-24,Sommerferien
243,2016-08-25,Sommerferien
244,2016-08-26,Sommerferien
245,2016-08-27,Sommerferien
246,2016-08-28,Sommerferien
247,2016-08-29,Sommerferien
248,2016-08-30,Sommerferien
249,2016-08-31,Sommerferien
250,2016-09-01,Sommerferien
251,2016-10-17,Herbstferien
252,2016-10-18,Herbstferien
253,2016-10-19,Herbstferien
254,2016-10-20,Herbstferien
255,2016-10-21,Herbstferien
256,2016-10-22,Herbstferien
257,2016-10-23,Herbstferien
258,2016-10-24,Herbstferien
259,2016-10-25,Herbstferien
260,2016-10-26,Herbstferien
261,2016-10-27,Herbstferien
262,2016-10-28,Herbstferien
263,2016-10-29,Herbstferien
264,2016-12-27,Weihnachtsferien
265,2016-12-28,Weihnachtsferien
266,2016-12-29,Weihnachtsferien
267,2016-12-30,Weihnachtsferien
268,2016-12-31,Weihnachtsferien
269,2017-01-01,Weihnachtsferien
270,2017-01-02,Weihnachtsferien
271,2017-01-03,Weihnachtsferien
272,2017-01-04,Weihnachtsferien
273,2017-01-05,Weihnachtsferien
274,2017-01-06,Weihnachtsferien
275,2017-01-07,Weihnachtsferien
276,2017-01-30,Winterferien
277,2017-01-31,Winterferien
278,2017-03-06,Osterferien
279,2017-03-07,Osterferien
280,2017-03-08,Osterferien
281,2017-03-09,Osterferien
282,2017-03-10,Osterferien
283,2017-03-11,Osterferien
284,2017-03-12,Osterferien
285,2017-03-13,Osterferien
286,2017-03-14,Osterferien
287,2017-03-15,Osterferien
288,2017-03-16,Osterferien
289,2017-03-17,Osterferien
290,2017-03-18,Osterferien
291,2017-05-22,Pfingstferien
292,2017-05-23,Pfingstferien
293,2017-05-24,Pfingstferien
294,2017-05-25,Pfingstferien
295,2017-05-26,Pfingstferien
296,2017-05-27,Pfingstferien
297,2017-07-20,Sommerferien
298,2017-07-21,Sommerferien
299,2017-07-22,Sommerferien
300,2017-07-23,Sommerferien
301,2017-07-24,Sommerferien
302,2017-07-25,Sommerferien
303,2017-07-26,Sommerferien
304,2017-07-27,Sommerferien
305,2017-07-28,Sommerferien
306,2017-07-29,Sommerferien
307,2017-07-30,Sommerferien
308,2017-07-31,Sommerferien
309,2017-08-01,Sommerferien
310,2017-08-02,Sommerferien
311,2017-08-03,Sommerferien
312,2017-08-04,Sommerferien
313,2017-08-05,Sommerferien
314,2017-08-06,Sommerferien
315,2017-08-07,Sommerferien
316,2017-08-08,Sommerferien
317,2017-08-09,Sommerferien
318,2017-08-10,Sommerferien
319,2017-08-11,Sommerferien
320,2017-08-12,Sommerferien
321,2017-08-13,Sommerferien
322,2017-08-14,Sommerferien
323,2017-08-15,Sommerferien
324,2017-08-16,Sommerferien
325,2017-08-17,Sommerferien
326,2017-08-18,Sommerferien
327,2017-08-19,Sommerferien
328,2017-08-20,Sommerferien
329,2017-08-21,Sommerferien
330,2017-08-22,Sommerferien
331,2017-08-23,Sommerferien
332,2017-08-24,Sommerferien
333,2017-08-25,Sommerferien
334,2017-08-26,Sommerferien
335,2017-08-27,Sommerferien
336,2017-08-28,Sommerferien
337,2017-08-29,Sommerferien
338,2017-08-30,Sommerferien
339,2017-08-31,Sommerferien
340,2017-10-16,Herbstferien
341,2017-10-17,Herbstferien
342,2017-10-18,Herbstferien
343,2017-10-19,Herbstferien
344,2017-10-20,Herbstferien
345,2017-10-21,Herbstferien
346,2017-10-22,Herbstferien
347,2017-10-23,Herbstferien
348,2017-10-24,Herbstferien
349,2017-10-25,Herbstferien
350,2017-10-26,Herbstferien
351,2017-10-27,Herbstferien
352,2017-10-28,Herbstferien
353,2017-10-02,Herbstferien
354,2017-10-03,Herbstferien
355,2017-12-22,Weihnachtsferien
356,2017-12-23,Weihnachtsferien
357,2017-12-24,Weihnachtsferien
358,2017-12-25,Weihnachtsferien
359,2017-12-26,Weihnachtsferien
360,2017-12-27,Weihnachtsferien
361,2017-12-28,Weihnachtsferien
362,2017-12-29,Weihnachtsferien
363,2017-12-30,Weihnachtsferien
364,2017-12-31,Weihnachtsferien
365,2018-01-01,Weihnachtsferien
366,2018-01-02,Weihnachtsferien
367,2018-01-03,Weihnachtsferien
368,2018-01-04,Weihnachtsferien
369,2018-01-05,Weihnachtsferien
370,2018-01-06,Weihnachtsferien
371,2018-02-02,Winterferien
372,2018-02-03,Winterferien
373,2018-03-05,Osterferien
374,2018-03-06,Osterferien
375,2018-03-07,Osterferien
376,2018-03-08,Osterferien
377,2018-03-09,Osterferien
378,2018-03-10,Osterferien
379,2018-03-11,Osterferien
380,2018-03-12,Osterferien
381,2018-03-13,Osterferien
382,2018-03-14,Osterferien
383,2018-03-15,Osterferien
384,2018-03-16,Osterferien
385,2018-03-17,Osterferien
386,2018-05-07,Pfingstferien
387,2018-05-08,Pfingstferien
388,2018-05-09,Pfingstferien
389,2018-05-10,Pfingstferien
390,2018-05-11,Pfingstferien
391,2018-05-12,Pfingstferien
392,2018-07-05,Sommerferien
393,2018-07-06,Sommerferien
394,2018-07-07,Sommerferien
395,2018-07-08,Sommerferien
396,2018-07-09,Sommerferien
397,2018-07-10,Sommerferien
398,2018-07-11,Sommerferien
399,2018-07-12,Sommerferien
400,2018-07-13,Sommerferien
401,2018-07-14,Sommerferien
402,2018-07-15,Sommerferien
403,2018-07-16,Sommerferien
404,2018-07-17,Sommerferien
405,2018-07-18,Sommerferien
406,2018-07-19,Sommerferien
407,2018-07-20,Sommerferien
408,2018-07-21,Sommerferien
409,2018-07-22,Sommerferien
410,2018-07-23,Sommerferien
411,2018-07-24,Sommerferien
412,2018-07-25,Sommerferien
413,2018-07-26,Sommerferien
414,2018-07-27,Sommerferien
415,2018-07-28,Sommerferien
416,2018-07-29,Sommerferien
417,2018-07-30,Sommerferien
418,2018-07-31,Sommerferien
419,2018-08-01,Sommerferien
420,2018-08-02,Sommerferien
421,2018-08-03,Sommerferien
422,2018-08-04,Sommerferien
423,2018-08-05,Sommerferien
424,2018-08-06,Sommerferien
425,2018-08-07,Sommerferien
426,2018-08-08,Sommerferien
427,2018-08-09,Sommerferien
428,2018-08-10,Sommerferien
429,2018-08-11,Sommerferien
430,2018-08-12,Sommerferien
431,2018-08-13,Sommerferien
432,2018-08-14,Sommerferien
433,2018-08-15,Sommerferien
434,2018-08-16,Sommerferien
435,2018-10-01,Herbstferien
436,2018-10-02,Herbstferien
437,2018-10-03,Herbstferien
438,2018-10-04,Herbstferien
439,2018-10-05,Herbstferien
440,2018-10-06,Herbstferien
441,2018-10-07,Herbstferien
442,2018-10-08,Herbstferien
443,2018-10-09,Herbstferien
444,2018-10-10,Herbstferien
445,2018-10-11,Herbstferien
446,2018-10-12,Herbstferien
447,2018-10-13,Herbstferien
448,2018-12-20,Weihnachtsferien
449,2018-12-21,Weihnachtsferien
450,2018-12-22,Weihnachtsferien
451,2018-12-23,Weihnachtsferien
452,2018-12-24,Weihnachtsferien
453,2018-12-25,Weihnachtsferien
454,2018-12-26,Weihnachtsferien
455,2018-12-27,Weihnachtsferien
456,2018-12-28,Weihnachtsferien
457,2018-12-29,Weihnachtsferien
458,2018-12-30,Weihnachtsferien
459,2018-12-31,Weihnachtsferien
460,2019-01-01,Weihnachtsferien
461,2019-01-02,Weihnachtsferien
462,2019-01-03,Weihnachtsferien
463,2019-01-04,Weihnachtsferien
464,2019-01-05,Weihnachtsferien
465,2018-04-30,Pfingstferien
466,2018-05-01,Pfingstferien
